,Content,Query Name,Title,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1
0,"Bunched on the kitchen counter, the bananas glowered. “Eat me, drink me, suck my juices,” they taunted, like the tempting fruit in Christina Rossetti’s kinky poem “Goblin Market.” I was flummoxed since I loathe the mushy texture of bananas. (Sorry, Chiquita!) But how else could I ingest more of the magnesium I need in order to not get thrown out of my cancer clinical trial?",cancer,Raising a Glass to Chronic Disease,0.0,0.0,0.0,0.0
1,"After anxious weeks since learning that he had cancer, a man prepares for an operation that he hopes will give him a longer life. Then, days before, his surgeon tells him that plans have changed. His surgery will be put off because of concerns about the spread of the coronavirus.",cancer,Will the Coronavirus Delay My Cancer Surgery?,1.0,1.0,1.0,1.0
2,"I miss the intimacy, and the innocence, of my visits with patients.",cancer,Coronavirus and the Cancer Patient,2.0,2.0,2.0,2.0
3,"Last April, my wife called me in tears from a hospital in Fairfax, Va., to tell me our 2-year-old daughter, Nusayba, had hepatoblastoma, a rare cancer that primarily affects children during the first 3 years of life. It was most likely stage 4, she said.",cancer,My Toddler Survived Cancer. Then Came the Coronavirus.,3.0,3.0,3.0,3.0
4,"Sequestered during the pandemic, I find myself thinking that cancer patients’ expertise in fear can help others heed its warnings. We all need tactics not only to overcome the destructive capacity of fear but also to tap its protective potential.",cancer,What Cancer Has Taught Me About Fear,4.0,4.0,4.0,4.0
5,"A diet high in fiber may help reduce the risk for breast cancer, researchers report.",cancer,High-Fiber Foods Linked to Lower Breast Cancer Risk,5.0,5.0,5.0,5.0
6,"As the coronavirus pandemic spreads, the normal touchstones of everyday life have vanished without so much as a warning. In their place are terrifying thoughts about the future, about loss and about mortality.",cancer,How to Live in the Face of Fear: Lessons From a Cancer Survivor,6.0,6.0,6.0,6.0
7,"The Food and Drug Administration on Wednesday asked companies to stop selling all forms of the heartburn drug Zantac, after concluding that a potential cancer-causing contaminant can build up in the drug when stored for long periods.",cancer,"Zantac Products Should Not Be Sold or Used, F.D.A. Warns, Citing Cancer Danger",7.0,7.0,7.0,7.0
8,"This guide was originally published on July 26, 2019 in NYT Parenting.",cancer,Know Your Uterus,8.0,8.0,8.0,8.0
9,"This story was originally published on Jan. 16, 2020 in NYT Parenting.",cancer,Black Women Are Hit Hardest by Fibroid Tumors,9.0,9.0,9.0,9.0
10,"This story was originally published on June 20, 2019 in NYT Parenting.",cancer,Uterine Fibroids Can Wreak Reproductive Havoc. What Are They?,10.0,10.0,10.0,10.0
11,"SEATTLE — One in four U.S. households have a smart speaker and 81 percent of adults own a smartphone. These devices might seem to be unlikely medical instruments, yet their computing capability, storage and sensor quality is often superior to the clinical-grade equipment used to monitor patients in an intensive care unit.",cancer,"Alexa, Do I Have Coronavirus?",11.0,11.0,11.0,11.0
12,"Omega-3 fatty acids have almost no effect, good or bad, on the risk for cardiovascular disease or cancer.",cancer,Omega-3s Show No Overall Benefits for Heart Health or Cancer Prevention,12.0,12.0,12.0,12.0
13,"Sundown marks the beginning of my mother’s third yahrzeit, the anniversary of her death. I light a candle whose flame will burn for 24 hours, to honor her memory. But I need no candle to remember Ma, who burned bright all on her own. And I have the scars to prove it.",cancer,Maybe the Survivor’s Daughter Could Survive,13.0,13.0,13.0,13.0
14,"“Have you read this?” the 61-year-old man asked his newest doctor, Madan Jagasia, as they sat in an exam room in the cancer center at Vanderbilt University Medical Center in Nashville. The book, titled “Dying Well,” prompted a concerned look from the oncologist. You know we’re not there yet, he said he told the patient.",cancer,His Immune System Went Out of Whack. The Usual Treatment Didn’t Work. Why?,14.0,14.0,14.0,14.0
